time,vehicle_id,edge_id
1.0,0,173941109#2
2.0,1,-173942078#1
3.0,2,173942067#1
4.0,3,557160722#1
5.0,4,-173941546#1
9.0,8,-496906168#2
12.0,11,278539539
16.0,15,278539455
18.0,17,173941829
19.0,18,-173941788#2
22.0,21,173941109#1
24.0,23,173941109#4
26.0,25,-173941109#0
28.0,27,155884542#1
30.0,29,-173941788#2
33.0,32,173941139#2
34.0,33,557160752#3
37.0,36,170844796#2
38.0,37,E6
43.0,42,67792329#0
44.0,43,-155875663#3
47.0,46,-170844796#1
50.0,49,557160752#3
181.0,10,E3
297.0,20,E3
